"","bird","site","list_n","release_cond","partner_list_n","Pair_ID","partner","treatment","date","time","add_train","dt1","HEI","split_any","distance_training_tracks_average","distance_training_tracks_closest","HEI_analysis","Distance_average_analysis","Distance_closest_analysis","treatment_addtrain"
"59","17-S30","LH",59,"solo",NA,"O15",",","TR",2024-07-05,"12:56:07",TRUE,2024-07-05 12:56:07,0.633279981795931,NA,969.915473598775,920.462124669229,0.633279981795931,969.915473598775,920.462124669229,"ATR"
"60","17-S30","SH",60,"pair",352,"O15","20-C96","TR",2024-06-09,"11:42:05",FALSE,2024-06-09 11:42:05,0.891761454089792,TRUE,NA,NA,0.89512873085463,NA,NA,"TR"
"61","17-S30","SH",61,"pair",353,"O15","20-C96","TR",2024-06-17,"14:48:05",FALSE,2024-06-17 14:48:05,0.852798133609292,FALSE,1554.09031057557,1554.09031057557,0.854063028636791,1566.98637197584,1566.98637197584,"TR"
"62","17-S30","SH",62,"solo",NA,"O15",",","CM",2024-08-17,"10:43:14",FALSE,2024-08-17 10:43:14,0.782015586922009,NA,1273.67208746339,722.5030052802,0.782015586922009,1273.67208746339,722.5030052802,"CM_N"
"64","18-C41","LH",64,"pair",309,"O16","20-C92","CM",2024-08-16,"09:16:04",TRUE,2024-08-16 09:16:04,0.466806872100094,FALSE,2048.6696641864,1324.82253008487,0.47433504953485,2048.06206791099,1316.04267181106,"CM_A"
"65","18-C41","LH",65,"pair",310,"O16","20-C92","TR",2024-06-17,"10:13:04",TRUE,2024-06-17 10:13:04,0.884646360117188,TRUE,534.193216080121,123.665259093151,0.901445141684319,538.779526238632,123.339806086525,"TR"
"66","18-C41","LH",66,"pair",311,"O16","20-C92","TR",2024-06-08,"11:47:01",TRUE,2024-06-08 11:47:01,0.937946862787473,FALSE,NA,NA,0.934098115934433,NA,NA,"TR"
"67","18-C41","LH",67,"pair",312,"O16","20-C92","TR",2024-06-09,"14:15:07",TRUE,2024-06-09 14:15:07,0.851548079199943,FALSE,914.540567110944,914.540567110944,0.849103780260708,917.788739128023,917.788739128023,"TR"
"68","18-C41","LH",68,"pair",313,"O16","20-C92","TR",2024-07-04,"10:31:04",TRUE,2024-07-04 10:31:04,0.960864022033988,FALSE,476.44296111916,110.347089511214,0.964615398553494,495.889289775133,122.994059977244,"ATR"
"69","18-C41","LH",69,"pair",314,"O16","20-C92","TR",2024-07-04,"12:37:08",TRUE,2024-07-04 12:37:08,0.915569883801837,FALSE,418.122528681741,181.832084036155,0.917016902830661,424.430404604945,182.319497529229,"ATR"
"70","18-C41","LH",70,"pair",315,"O16","20-C92","TR",2024-07-08,"10:05:18",TRUE,2024-07-08 10:05:18,0.913428871717992,TRUE,326.940729291098,36.9560708200721,0.897171431542976,333.274959063952,39.6454722711463,"ATR"
"71","18-C41","LH",71,"solo",NA,"O16",",","TR",2024-06-11,"16:05:05",TRUE,2024-06-11 16:05:05,0.902501740668981,NA,459.679000424991,330.049616694973,0.902501740668981,459.679000424991,330.049616694973,"TR"
"72","18-C41","LH",72,"solo",NA,"O16",",","TR",2024-06-18,"16:30:27",TRUE,2024-06-18 16:30:27,0.913685677169449,NA,486.663600462931,313.269868077092,0.913685677169449,486.663600462931,313.269868077092,"TR"
"73","18-C41","LH",73,"solo",NA,"O16",",","TR",2024-07-05,"12:44:23",TRUE,2024-07-05 12:44:23,0.890128251335562,NA,393.991587599303,134.668433313934,0.890128251335562,393.991587599303,134.668433313934,"ATR"
"75","18-C41","SH",75,"pair",321,"O16","20-C92","TR",2024-06-09,"10:14:16",FALSE,2024-06-09 10:14:16,0.849149597078966,FALSE,NA,NA,0.846702308830324,NA,NA,"TR"
"76","18-C41","SH",76,"pair",322,"O16","20-C92","TR",2024-06-16,"11:57:05",FALSE,2024-06-16 11:57:05,0.958890878330061,FALSE,368.191361163432,368.191361163432,0.960613843313209,369.459926940191,369.459926940191,"TR"
"77","18-C41","SH",77,"solo",NA,"O16",",","TR",2024-06-17,"13:47:14",FALSE,2024-06-17 13:47:14,0.91400332219088,NA,314.786802847554,154.77158367826,0.91400332219088,314.786802847554,154.77158367826,"TR"
"78","18-C44","LH",78,"pair",213,"O9","20-C03","CM",2024-08-16,"10:04:05",TRUE,2024-08-16 10:04:05,0.704113006939894,TRUE,443.15386228655,193.487971014459,0.749305651422079,426.84604808453,181.594057993416,"CM_A"
"79","18-C44","LH",79,"pair",214,"O9","20-C03","TR",2024-06-08,"13:15:05",TRUE,2024-06-08 13:15:05,0.747422006455817,FALSE,NA,NA,0.74777883628181,NA,NA,"TR"
"80","18-C44","LH",80,"pair",215,"O9","20-C03","TR",2024-06-09,"14:06:39",TRUE,2024-06-09 14:06:39,0.936938542499264,FALSE,319.968598935524,319.968598935524,0.937116699778847,319.499375350582,319.499375350582,"TR"
"81","18-C44","LH",81,"pair",216,"O9","20-C03","TR",2024-06-17,"09:51:09",TRUE,2024-06-17 09:51:09,0.791725041624347,FALSE,388.40825811923,82.9869369637127,0.781369611141163,393.734686904459,86.5354510008444,"TR"
"82","18-C44","LH",82,"pair",217,"O9","20-C03","TR",2024-07-04,"10:36:06",TRUE,2024-07-04 10:36:06,0.887556882428883,FALSE,550.678214253994,164.934943870376,0.89213810390726,557.945453825812,165.944318280019,"ATR"
"83","18-C44","LH",83,"pair",218,"O9","20-C03","TR",2024-07-04,"12:55:04",TRUE,2024-07-04 12:55:04,0.824354863903583,FALSE,479.085746810198,130.585984679196,0.827172224648808,488.42434566696,135.146928409411,"ATR"
"84","18-C44","LH",84,"pair",219,"O9","20-C03","TR",2024-07-08,"10:16:06",TRUE,2024-07-08 10:16:06,0.861790547261873,FALSE,337.600458565186,47.2778574737729,0.860722021486006,342.757312962519,47.6234611400184,"ATR"
"86","18-C44","LH",86,"solo",NA,"O9",",","TR",2024-06-10,"17:35:04",TRUE,2024-06-10 17:35:04,0.864610583526123,NA,253.788543620487,158.37135496344,0.864610583526123,253.788543620487,158.37135496344,"TR"
"87","18-C44","LH",87,"solo",NA,"O9",",","TR",2024-06-11,"14:12:04",TRUE,2024-06-11 14:12:04,0.93988065380932,NA,297.310871786575,189.50189765325,0.93988065380932,297.310871786575,189.50189765325,"TR"
"88","18-C44","LH",88,"solo",NA,"O9",",","TR",2024-07-05,"13:10:07",TRUE,2024-07-05 13:10:07,0.869958847863459,NA,335.576472326055,45.2379907147716,0.869958847863459,335.576472326055,45.2379907147716,"ATR"
"89","18-C44","SH",89,"pair",225,"O9","20-C03","CM",2024-08-17,"09:59:08",FALSE,2024-08-17 09:59:08,NA,TRUE,NA,NA,NA,NA,NA,"CM_N"
"90","18-C44","SH",90,"pair",226,"O9","20-C03","TR",2024-06-09,"10:14:16",FALSE,2024-06-09 10:14:16,0.719542234629001,FALSE,NA,NA,0.72148297129266,NA,NA,"TR"
"91","18-C44","SH",91,"pair",227,"O9","20-C03","TR",2024-06-16,"13:46:05",FALSE,2024-06-16 13:46:05,0.848784973454483,FALSE,261.914428517907,261.914428517907,0.849676711283941,262.588069622704,262.588069622704,"TR"
"92","18-C44","SH",92,"pair",228,"O9","20-C03","TR",2024-06-17,"14:19:06",FALSE,2024-06-17 14:19:06,0.918613428160884,FALSE,168.901780318382,62.5108815809192,0.918648011769636,169.467452155421,63.0494869753891,"TR"
"93","18-C44","SH",93,"solo",NA,"O9",",","TR",2024-06-10,"10:38:06",FALSE,2024-06-10 10:38:06,0.748488618699753,NA,146.493127248203,146.493127248203,0.748488618699753,146.493127248203,146.493127248203,"TR"
"94","18-C44","SH",94,"solo",NA,"O9",",","TR",2024-06-18,"17:23:24",FALSE,2024-06-18 17:23:24,0.83134828967351,NA,162.950138328491,55.7580958470656,0.83134828967351,162.950138328491,55.7580958470656,"TR"
"95","18-C46","LH",100,"pair",160,"O7","19-C46","TR",2024-07-04,"12:50:07",TRUE,2024-07-04 12:50:07,0.267251770995826,FALSE,864.16850320814,302.671096837747,0.270242287508549,866.731894398338,311.058615311216,"ATR"
"96","18-C46","LH",101,"pair",161,"O7","19-C46","TR",2024-07-09,"09:24:04",TRUE,2024-07-09 09:24:04,0.687437749466522,FALSE,942.688271143801,326.510947489795,0.685488535185748,943.708971919274,328.359009430274,"ATR"
"97","18-C46","LH",102,"solo",NA,"O7",",","CM",2024-08-16,"10:49:08",TRUE,2024-08-16 10:49:08,0.733731106927866,NA,800.335912770353,210.612264683843,0.733731106927866,800.335912770353,210.612264683843,"CM_A"
"98","18-C46","LH",103,"solo",NA,"O7",",","TR",2024-06-10,"16:59:05",TRUE,2024-06-10 16:59:05,0.72054520141909,NA,574.013680808417,490.74183774329,0.72054520141909,574.013680808417,490.74183774329,"TR"
"99","18-C46","LH",104,"solo",NA,"O7",",","TR",2024-06-11,"16:34:37",TRUE,2024-06-11 16:34:37,0.82906828875975,NA,839.084836686732,653.94552829241,0.82906828875975,839.084836686732,653.94552829241,"TR"
"100","18-C46","LH",105,"solo",NA,"O7",",","TR",2024-07-05,"13:42:04",TRUE,2024-07-05 13:42:04,0.855731863261033,NA,863.284988127984,329.871397529901,0.855731863261033,863.284988127984,329.871397529901,"ATR"
"101","18-C46","LH",95,"pair",155,"O7","19-C46","TR",2024-06-17,"10:35:50",TRUE,2024-06-17 10:35:50,0.665910721855606,FALSE,394.267765729697,269.184170974383,0.66308565584693,392.593984976284,268.313178051645,"TR"
"103","18-C46","LH",97,"pair",157,"O7","19-C46","TR",2024-06-08,"11:46:59",TRUE,2024-06-08 11:46:59,0.749466043365325,FALSE,NA,NA,0.74892021204198,NA,NA,"TR"
"104","18-C46","LH",98,"pair",158,"O7","19-C46","TR",2024-06-09,"14:06:37",TRUE,2024-06-09 14:06:37,0.740625346483836,FALSE,287.764369928238,287.764369928238,0.739710653061544,287.000157529443,287.000157529443,"TR"
"105","18-C46","LH",99,"pair",159,"O7","19-C46","TR",2024-07-04,"10:16:05",TRUE,2024-07-04 10:16:05,0.696361047349861,FALSE,1143.92860332971,718.592254713966,0.693159526239741,1145.40598938161,723.346833340669,"ATR"
"106","18-C46","SH",106,"pair",167,"O7","19-C46","CM",2024-08-17,"11:29:06",FALSE,2024-08-17 11:29:06,0.693440588657239,FALSE,395.309800641333,190.113257907321,0.691230848343068,395.290613753781,190.434138353715,"CM_N"
"107","18-C46","SH",107,"pair",168,"O7","19-C46","TR",2024-06-09,"10:14:13",FALSE,2024-06-09 10:14:13,0.78603000783518,FALSE,NA,NA,0.784316643440553,NA,NA,"TR"
"108","18-C46","SH",108,"pair",169,"O7","19-C46","TR",2024-06-16,"13:05:07",FALSE,2024-06-16 13:05:07,0.936947366981401,FALSE,616.662413177562,616.662413177562,0.938080993824461,614.779142326898,614.779142326898,"TR"
"110","18-C46","SH",110,"solo",NA,"O7",",","TR",2024-06-10,"12:35:22",FALSE,2024-06-10 12:35:22,0.787923303733792,NA,177.585579192997,177.585579192997,0.787923303733792,177.585579192997,177.585579192997,"TR"
"111","18-C46","SH",111,"solo",NA,"O7",",","TR",2024-06-20,"09:11:16",FALSE,2024-06-20 09:11:16,0.729640203311337,NA,397.638313136909,198.669821865359,0.729640203311337,397.638313136909,198.669821865359,"TR"
"112","18-C46","SH",112,"solo",NA,"O7",",","TR",2024-06-20,"13:05:16",FALSE,2024-06-20 13:05:16,0.530812768349042,NA,451.90864056626,206.314524109149,0.530812768349042,451.90864056626,206.314524109149,"TR"
"113","18-C71","LH",113,"pair",173,"O12","19-C57","TR",2024-06-08,"11:46:59",FALSE,2024-06-08 11:46:59,0.858741157742625,FALSE,NA,NA,0.859051119357375,NA,NA,"TR"
"114","18-C71","LH",114,"pair",174,"O12","19-C57","TR",2024-06-09,"14:06:36",FALSE,2024-06-09 14:06:36,0.882341369598643,FALSE,89.3418098308757,89.3418098308757,0.882624502604106,89.5479037133498,89.5479037133498,"TR"
"115","18-C71","LH",115,"pair",175,"O12","19-C57","TR",2024-06-17,"09:56:07",FALSE,2024-06-17 09:56:07,0.809684220432523,FALSE,106.468712962381,83.389293378467,0.813892328536188,107.485103180094,84.3263119273034,"TR"
"116","18-C71","SH",116,"pair",182,"O12","19-C57","TR",2024-07-04,"09:13:04",TRUE,2024-07-04 09:13:04,NA,TRUE,NA,NA,NA,NA,NA,"ATR"
"117","18-C71","SH",117,"pair",180,"O12","19-C57","TR",2024-06-09,"10:14:13",TRUE,2024-06-09 10:14:13,0.773551661753524,FALSE,NA,NA,0.774032493233773,NA,NA,"TR"
"118","18-C71","SH",118,"pair",181,"O12","19-C57","TR",2024-06-18,"17:16:06",TRUE,2024-06-18 17:16:06,0.867612770041487,FALSE,146.601671905312,146.601671905312,0.868744922077603,146.65581850996,146.65581850996,"TR"
